zona;marca;descripcion;calibre;fleje;precio;descuento
Nunez;Andes Origen;Cerveza Andes Origen IPA 473 ml;473 ml;3499;2624.25;25
Nunez;Stella Artois;Cerveza Stella Artois Lager 710 ml;710 ml;6260;5008;20
Nunez;Quilmes;Cerveza Quilmes Stout 473 ml;473 ml;2745;2196;20
Nunez;Pampa;Cerveza Pampa Brewing Lager 473 ml;473 ml;3210;1605;50
Nunez;Schneider;Cerveza Schneider Rubia 710 ml;710 ml;3815;3815;0
Nunez;Stella Artois;Cerveza Stella Artois 473 ml;473 ml;4269;3201.75;25
Nunez;Michelob Ultra;Cerveza Michelob Ultra Sin Gluten 473 ml;473 ml;2889;2311.2;20
Nunez;Corona;Cerveza Corona Rubia 330 ml;330 ml;4550;3640;20
Nunez;Quilmes;Cerveza Quilmes Clasica 710ml;710 ml;3965;2973.75;25
Nunez;Heineken;Cerveza Heineken Lata 710 ml;710 ml;6355;5401.75;15
Nunez;Corona;Cerveza Corona Rubia 710 ml;710 ml;7490;5617.5;25
Nunez;Corona;Cerveza Rubia Corona 473 ml;473 ml;4929;3203.85;35
Nunez;Ortuzar;Cerveza Ortuzar Premium Lager 473 ml;473 ml;2245;1347;40
Nunez;Miller;Cerveza Miller 473 ml;473 ml;3729;2237.4;40
Nunez;Brahma;Cerveza Brahma Chopp 710 ml;710 ml;4200;3150;25
Nunez;Brahma;Cerveza Brahma Chopp 473 ml;473 ml;2890;2312;20
Nunez;Amstel;Cerveza Amstel Lager 710 ml;710 ml;4390;4390;0
Nunez;Imperial;Cerveza Imperial Golden 710 ml;710 ml;4990;3243.5;35
Nunez;Andes;Cerveza Andes Origen Rubia 710 ml;710 ml;4990;3243.5;35
Nunez;Patagonia;Cerveza Patagonia IPA 730 ml;730 ml;7590;3795;50
Nunez;1890;Cerveza 1890 Rubia 473 ml;473 ml;2390;2032;15
