zona;marca;descripcion;calibre;fleje;precio;descuento
Nunez;Stella Artois;Cerveza Stella Artois Sin Alcohol 330 ml;330 ml;3335;3335;0
Nunez;Imperial;Cerveza Imperial Golden Cero Alcohol 473 cm3;-;2229;2229;0
Nunez;Quilmes;Cerveza Sin Alcohol 0.0% Quilmes 473 ml;473 ml;2305;2305;0
Nunez;Pampa;Cerveza Pampa Brewing Lager 473 ml;473 ml;3210;1605;50
Nunez;Quilmes;Cerveza Quilmes Clásica 710ml;710 ml;3965;3172;20
Nunez;Stella Artois;Cervez Stella Artois 710 ml;710 ml;6205;4653.75;25
Nunez;Corona;Cerveza Corona Rubia 330 ml;330 ml;4550;3640;20
Nunez;Michelob Ultra;Cerveza Michelob Ultra Sin Gluten 473 ml;473 ml;2889;2311.2;20
Nunez;Stella Artois;Cerveza Stella Artois 473 ml;473 ml;4269;3201.75;25
Nunez;Andes Origen;Cerveza Andes Origen Rubia 710 ml;710 ml;4955;3964;20
Nunez;Corona;Cerveza Corona Rubia 710 ml;710 ml;7490;5617.5;25
Nunez;Ortuzar;Cerveza Ortuzar Premium Lager 473 ml;473 ml;2245;1459.25;35
Nunez;Corona;Cerveza Rubia Corona 473 ml;473 ml;4929;3203.85;35
Nunez;Ortuzar;Cerveza Ortuzar Premium Lager 710 ml;710 ml;3535;2297.75;35
Nunez;Stella Artois;Cerveza Stella Artois Lager 710 ml;710 ml;6260;5008;20
Nunez;Heineken;Cerveza Heineken Lata 710 ml;710 ml;6355;4130.75;35
Nunez;Stella Artois;Cerveza Stella Artois Botella 330 ml;330 ml;4079;3059.25;25
Nunez;Andes Origen;Cerveza Andes Origen IPA 473 ml;473 ml;3499;2624.25;25
Nunez;Schneider;Cerveza Schneider Rubia 710 ml;710 ml;3815;3815;0
Nunez;Pampa;Cerveza Pampa Brewing Honey Ale Lata 473 ml;473 ml;3210;2407.5;25
Nunez;Stella Artois;Cerveza Stella Artois Pure Gold 330 cm3;-;4485;3363.75;25
Nunez;Patagonia;Cerveza Patagonia Vera Ipa 473 ml;473 ml;5205;3643.5;30
Nunez;Andes Origen;Cerveza Andes Origen Rubia Lata 473 ml;473 ml;3410;2557.5;25
Nunez;Patagonia;Cerveza Patagonia Amber Lager Lata 473 ml;473 ml;5309;3716.3;30
Nunez;Patagonia;Cerveza Patagonia 24.7 Session Ipa 473 ml;473 ml;5309;3716.3;30
Nunez;Quilmes;Cerveza Quilmes Stout 473 ml;473 ml;2745;2196;20
