zona;marca;descripcion;calibre;fleje;precio;descuento;promo_nominal
Nunez;Heineken;Cerveza Heineken Cero Alcohol Lata 473 ml;473 ml;3289;2137.85;35;35%
Nunez;Ortuzar;Cerveza Ortuzar Premium Lager 473 ml;473 ml;2245;1683.75;25;25%
Nunez;Ortuzar;Cerveza Ortuzar Session Ipa 473 ml;473 ml;3715;2786.25;25;25%
Nunez;Stella Artois;Cerveza Stella Artois 473 ml;473 ml;4269;3201.75;25;25%
Nunez;Andes Origen;Cerveza Andes Origen IPA 473 ml;473 ml;3569;2676.75;25;25%
Nunez;Schneider;Cerveza Schneider Rubia 710 ml;710 ml;3815;2479.75;35;35%
Nunez;Pampa;Cerveza Pampa Brewing Lager 473 ml;473 ml;3210;1605;50;50%
Nunez;1890;Cerveza 1890 Quilmes 473 ml;473 ml;2225;1557.5;30;30%
Nunez;Quilmes;Cerveza Quilmes Clásica 710ml;710 ml;3965;2973.75;25;25%
Nunez;Corona;Cerveza Rubia Corona 473 ml;473 ml;4929;3203.85;35;35%
Nunez;Andes Origen;Cerveza Andes Origen Rubia Lata 473 ml;473 ml;3419;2564.25;25;25%
Nunez;Patagonia;Cerveza Patagonia 24.7 Session Ipa 473 ml;473 ml;5309;3716.3;30;30%
Nunez;Stella Artois;Cerveza Stella Artois Lager 710 ml;710 ml;6389;5111.2;20;20%
Nunez;Schneider;Cerveza Schneider Rubia 473 ml;473 ml;2615;1961.25;25;25%
Nunez;Ortuzar;Cerveza Ortuzar Premium Lager 710 ml;710 ml;3535;2651.25;25;25%
Nunez;Patagonia;Cerveza Patagonia Vera Ipa 473 ml;473 ml;5205;3643.5;30;30%
Nunez;Brahma;Cerveza Brahma Chopp Rubia 710 ml;710 ml;4200;2940;30;30%
Nunez;Andes Origen;Cerveza Andes Origen Rubia Oro 473 ml;473 ml;3389;2541.75;25;25%
Nunez;Stella Artois;Cerveza Stella Artois Pure Gold 330 cm3;-;4485;3363.75;25;25%
Nunez;Schneider;Cerveza Schneider Remix Límon 473 ml;473 ml;2889;1877.85;35;35%
Nunez;Patagonia;Cerveza Patagonia Amber Lager Lata 473 ml;473 ml;5309;3716.3;30;30%
Nunez;Andes Origen;Cerveza Andes Origen Roja 473 ml;473 ml;3569;2676.75;25;25%
Nunez;Pampa;Cerveza Pampa Dorada Pampeana 473 ml;473 ml;3210;1926;40;40%
Nunez;Quilmes;Cerveza Quilmes Stout 473 ml;473 ml;2745;1921.5;30;30%
Nunez;Pampa;Cerveza Pampa Brewing Co Ipa 473 ml;473 ml;3535;2474.5;30;30%
Nunez;Stella Artois;Cerveza Stella Artois Pure Gold Lata 473 ml;473 ml;4389;2852.85;35;35%
Nunez;Patagonia;Cerveza Patagonia 24.7 Session Ipa 730 mL;730 ml;7549;5284.3;30;30%
Nunez;Quilmes;Cerveza Quilmes Ipa 473 ml;473 ml;2745;2196;20;20%
Nunez;Heineken;Cerveza Rubia Heineken 473 ml;473 ml;4275;4275;0;
Nunez;Andes Origen;Cerveza Andes Origen Negra 473ml;473 ml;3499;2624.25;25;25%
Nunez;Quilmes;Cerveza Quilmes Clásica 473ml;473 ml;2769;1846.0;33;3 x 2
Nunez;Pampa;Cerveza Pampa Brewing Amber Ale 473 ml;473 ml;3210;2247;30;30%
Nunez;Ortuzar;Cerveza Ortuzar Scottish 473 ml;473 ml;3225;2418.75;25;25%
Nunez;Ortuzar;Cerveza Ortuzar Porter 473 ml;473 ml;3325;2493.75;25;25%
Nunez;Quilmes;Cerveza Sin Alcohol 0.0% Quilmes 473 ml;473 ml;2305;1613.5;30;30%
Nunez;Pampa;Cerveza Pampa Brewing Nitro Cream Stout 473 ml;473 ml;3595;2516.5;30;30%
Nunez;Ortuzar;Cerveza Ortuzar Dubbel 473 ml;473 ml;3325;2493.75;25;25%
Nunez;Ortuzar;Cerveza Ortuzar Honey 473 ml;473 ml;3225;2418.75;25;25%
Nunez;Ortuzar;Cerveza Ortuzar Golden Ale 473 ml;473 ml;3225;2418.75;25;25%
Nunez;Ortuzar;Cerveza Ortuzar German Pils 473 ml;473 ml;3325;2493.75;25;25%
Nunez;Stella Artois;Cerveza Stella Artois Noire Pura Malta 473 ml;473 ml;4309;3231.75;25;25%
Nunez;Corona;Cerveza Rubia Sin Alcohol 0.0% Corona 330 ml;330 ml;3855;2698.5;30;30%
Nunez;Ortuzar;Cerveza Ortuzar Poker Bourbon 473 ml;473 ml;3715;2786.25;25;25%
Nunez;Stella Artois;Cerveza Stella Artois Sin Alcohol 330 ml;330 ml;3335;2334.5;30;30%
Nunez;cerveza imperial;Cerveza Imperial Golden Cero Alcohol 473 cm3;-;2229;1448.85;35;35%
Nunez;Quilmes;Cerveza Quilmes Bajo Cero 473 ml;473 ml;1735;1735;0;
Nunez;cerveza imperial;Cerveza Imperial Ipa 473 ml;473 ml;3495;3495;0;
Nunez;cerveza imperial;Cerveza Imperial Cream Stout 473 ml;473 ml;3529;3529;0;
Nunez;Beepure;Cerveza Artesanal Beepure Blonde Ale 500 ml;500 ml;4295;4295;0;
Nunez;Heineken;Cerveza Sin Alcohol Heineken 330 ml;330 ml;3119;3119;0;
Nunez;Beepure;Cerveza Artesanal Beepure Scottish 500 ml;500 ml;4685;4685;0;
Nunez;cerveza imperial;Cerveza Imperial Lager 710 ml;710 ml;4785;4067.25;15;15%
Nunez;Brahma;Cerveza Brahma Chopp 473 ml;473 ml;2919;2043.3;30;30%
Nunez;cerveza imperial;Cerveza Imperial Lager 473 ml;473 ml;3325;2493.75;25;25%
Nunez;cerveza imperial;Cerveza Imperial Golden Lata 473 mL;473 ml;3325;2493.75;25;25%
Nunez;cerveza imperial;Cerveza Imperial Apa 473 ml;473 ml;3529;3529;0;
